,text,document_contents
0,"Millions to miss out on the net

By 2025, 40% of the UK's population will still be without internet access at home, says a study.

Around 23 million Britons will miss out on a wide range of essential services such as education and medical information, predicts the report by telecoms giant BT. It compares to 27 million, or 50%, of the UK, who are not currently online. The idea that the digital divide will evaporate with time is ""wishful thinking"", the report concludes.

The study calls on the government and telecoms industry to come up with new ways to lure those that have been bypassed by the digital revolution. Although the percentage of Britons without home access will have fallen slightly, those that remain digital refuseniks will miss out on more, the report suggests. As more and more everyday tasks move online and offline services become less comprehensive, the divide will become more obvious and more burdensome for those that have not got net access, it predicts.

The gap between ""have-nets"" and ""have-nots"" has been much talked about, but predictions about how such a divide will affect future generations has been less discussed. BT set out to predict future patterns based on current information and taking account of the way technology is changing. Optimists who predict that convergence and the emergence of more user-friendly technology will bridge the digital divide could be way off mark, the report suggests. ""Internet access on other devices tends to be something taken up by those who already have it,"" said Adrian Hosford, director of corporate responsibility at BT. Costs of internet access have fallen dramatically and coverage in remote areas have vastly improved over the last year but the real barrier remains psychological. ""There is a hard rump of have-nots who are not engaging with the net. They don't have the motivation or skills or perceive the benefits,"" said Mr Hosford.

As now, the most disadvantaged groups are likely to remain among low income families, the older generation and the disabled.

Those on low incomes will account for a quarter of the digital have-nots, the disabled will make up 16% and the elderly nearly a third by 2025, the report forecasts. Organisations such as BT have a responsibility to help tackle the problem, said Mr Hosford. The telco has seen positive results with its Everybody Online project which offers internet access to people in eight deprived communities around Britain. In one area of Cornwall with high levels of unemployment, online training helped people rewrite CVs and learn skills to get new jobs, explained Mr Hosford. Such grassroot activity addressing the specific needs of individual communities is essential is the problem of the digital divide is to be overcome, he said. ""If we don't address this problem now, it will get a lot worse and people will find it more difficult to find jobs, education opportunities will be limited and they'll simply not be able to keep up with society,"" he said. The Alliance for Digital Inclusion, an independent body with members drawn from government, industry and the voluntary sector has recently been set up to tackle some of the issues faced by the digital refuseniks.
",2
1,"Microsoft debuts security tools

Microsoft is releasing tools that clean up PCs harbouring viruses and spyware.

The virus-fighting program will be updated monthly and is a precursor to Microsoft releasing dedicated anti-virus software. Also being released is a software utility that will help users find and remove any spyware on their home computer. Although initially free it is thought that soon Microsoft will be charging users for the anti-spyware tool.

The anti-spyware tool is available now and the anti-virus utility is expected to be available later this month. Microsoft's Windows operating system has long been a favourite of people who write computer viruses because it is so ubiquitous and has many loopholes that can be exploited. It has proved such a tempting target that there are now thought to be more than 100,000 viruses and other malicious programs in existence. Latest research suggests that new variants of viruses are being cranked out at a rate of up to 200 per week. Spyware is surreptitious software that sneaks on to home computers, often without users' knowledge. In its most benign form it just bombards users with pop-up adverts or hijacks web browser settings. The most malicious forms steal confidential information or log every keystroke that users make. Surveys have shown that most PCs are infested with spyware. Research by technology firms Earthlink and Webroot revealed that 90% of Windows machine have the malicious software on board and, on average, each one harbours 28 separate spyware programs. Before now Microsoft has left the market for PC security software to specialist firms such as Symantec, McAfee, Trend Micro and many others. It said that its virus cleaning program would not stop machines being infected nor remove the need for other anti-virus programs. On spyware freely available programs such as Ad-Aware and Spybot have become widely used by people keen to keep the latest variants at bay. Microsoft's two security tools have emerged as a result of acquisitions the company has made over the last two years. In 2003 it bought Romanian firm GeCAD Software to get hold of its anti-virus technology. In December 2004 it bought New York-based anti-spyware firm Giant Company Software. Last year Microsoft also released the SP2 upgrade for Windows XP that closed many security loopholes in the software and made it easier for people to manage their anti-virus and firewall programs.
",2
2,"Latest Opera browser gets vocal

Net browser Opera 8.0, due for official release at the end of next month, will be ""the most accessible browser on the market"", according to its authors.

The latest version of the net browser can be controlled by voice command and will read pages aloud. The voice features, based on IBM technology, are currently only available in the Windows version. Opera can also magnify text by up to 10 times and users can create ""style sheets"", its developers say. This will enable them to view pages with colours and fonts that they prefer. But the browser does not yet work well with screen reader software often used by blind people, so its accessibility features are more likely to appeal to those with some residual vision. ""Our mission was always to provide the best internet experience for everyone,"" said Opera spokeswoman, Berit Hanson. ""So we would obviously not want to exclude disabled computer users.""

Another feature likely to appeal to people with low vision is the ability to make pages fit to the screen width, which eliminates the need for horizontal scrolling.

The company points out that this will also appeal to anyone using Opera with a handheld device. The company says that features like voice activation are not solely aimed at visually impaired people. ""Our idea was to take a first step in making human-computer interaction more natural,"" said Ms Hanson. ""People are not always in a situation where they can access a keyboard, so this makes the web a more hands-free experience."" Unlike commercially available voice recognition software, Opera does not have to be ""trained"" to recognise an individual voice. Around 50 voice commands are available and users will have to wear a headset which incorporates a microphone. The voice recognition function is currently only available in English. Opera is free to download but a paid-for version comes without an ad banner in the top right hand corner and with extra support. Opera began life as a research project - a spin-off from Norwegian telecoms company Telenor. Its browser is used by an estimated 10 million people on a variety of operating systems and a number of different platforms.
",2
3,"Tautou 'to star in Da Vinci film'

French actress Audrey Tautou, star of hit film Amelie, will play the female lead in the film adaptation of The Da Vinci Code, it has been reported.

The movie version of Dan Brown's best-selling novel is being directed by Ron Howard and also stars Tom Hanks. Tautou will play Hanks' code-cracking partner, according to various newspapers. She is currently starring in A Very Long Engagement, directed by Jean-Pierre Jeunet. Jeunet was also responsible for directing Tautou in Amelie in 2001, which launched the actress into the mainstream.

She also starred as the lead role in critically-acclaimed film Dirty Pretty Things in 2002. Oscar-winning director Ron Howard chose Tautou for the part, preferring a French actress to a big name Hollywood star. UK actress Kate Beckinsale had been widely tipped as a possibility for the role alongside Vanessa Paradis and Juliette Binoche. The thriller upon which the movie is based has sold more than 17 million copies and is centred on a global conspiracy surrounding the Holy Grail mythology. The Louvre Museum, scene of the gruesome murder at the beginning of the novel, recently gave permission for filming to take place there, showbusiness newspaper Variety reported. The $100m movie will be produced by Columbia/Sony Pictures and is due for release on May 19, 2006 in the United States and France.
",2
4,"Doors open at biggest gadget fair

Thousands of technology lovers and industry experts have gathered in Las Vegas for the annual Consumer Electronics Show (CES).

The fair showcases the latest technologies and gadgets that will hit the shops in the next year. About 50,000 new products will be unveiled as the show unfolds. Microsoft chief Bill Gates is to make a pre-show keynote speech on Wednesday when he is expected to announce details of the next generation Xbox.

The thrust of this year's show will be on technologies which put people in charge of multimedia content so they can store, listen to, and watch what they want on devices any time, anywhere. About 120,000 people are expected to attend the trade show which stretches over more than 1.5 million square feet. Highlights will include the latest trends in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies. The show also includes several speeches from key technology companies such as Intel, Microsoft, and Hewlett Packard among others. ""The story this year remains all about digital and how that is completely transforming and revolutionising products and the way people interact with them,"" Jeff Joseph, from the Consumer Electronics Association (CEA) told the BBC News website. ""It is about personalisation - taking your MP3 player and creating your own playlist, taking your digital video recorder and watch what you want to watch when - you are no longer at the whim of the broadcasters.""

Consumer electronics and gadgets had a phenomenal year in 2004, according to figures released by CES organisers, the CEA, on Tuesday. The gadget explosion signalled the strongest growth yet in the US in 2004. Shipments of consumer electronics rose by almost 11% between 2003 and 2004. That trend is predicted to continue, according to CEA analysts, with wholesale shipments of consumer technologies expected to grow by 11% again in 2005. The fastest-growing technologies in 2004 included blank DVD media, Liquid Crystal Display (LCD) TVs, digital video recorders (DVRs), and portable music players. ""This year we will really begin to see that come to life in what we call place shifting - so if you have your PVR [personal video recorder] in your living room, you can move that content around the house. ""Some exhibitors will be showcasing how you can take that content anywhere,"" said Mr Joseph. He said the products which will be making waves in the next year will be about the ""democratisation"" of content - devices and technologies that will give people the freedom to do more with music, video, and images. There will also be more focus on the design of technologies, following the lead that Apple's iPod made, with ease of use and good looks which appeal to a wider range of people a key concern.

The CEA predicted that there would be several key technology trends to watch in the coming year. Gaming would continue to thrive, especially on mobile devices, and would reach out to more diverse gamers such as women. Games consoles sales have been declining, but the launch of next generation consoles, such as Microsoft's Xbox and PlayStation, could buoy up sales. Although it has been widely predicted that Mr Gates would be showcasing the new Xbox, some media reports have cast doubt on what he would be talking about in the keynote. Some have suggested the announcement may take place at the Games Developers Conference in the summer instead. With more than 52% of US homes expected to have home networks, the CEA suggested hard drive boxes - or media servers - capable of storing thousands of images, video and audio files to be accessed through other devices around the home, will be more commonplace. Portable devices that combine mobile telephony, digital music and video players, will also be more popular in 2005. Their popularity will be driven by more multimedia content and services which will let people watch and listen to films, TV, and audio wherever they are. This means more storage technologies will be in demand, such as external hard drives, and flash memory like SD cards. CES runs officially from 6 to 9 January.
",2
5,"Warning over tsunami aid website

Net users are being told to avoid a scam website that claims to collect cash on behalf of tsunami victims.

The site looks plausible because it uses an old version of the official Disasters Emergency Committee webpage. However, DEC has no connection with the fake site and says it has contacted the police about it. The site is just the latest in a long list of scams that try to cash in on the goodwill generated by the tsunami disaster.

The link to the website is contained in a spam e-mail that is currently circulating. The message's subject line reads ""Urgent Tsunami Earthquake Appeal"" and its text bears all the poor grammar and bad spelling that characterises many other phishing attempts. The web address of the fake site is decuk.org which could be close enough to the official www.dec.org.uk address to confuse some people keen to donate. Patricia Sanders, spokeswoman for the Disaster Emergency Committee said it was aware of the site and had contacted the Computer Crime Unit at Scotland Yard to help get it shut down. She said the spam e-mails directing people to the site started circulating two days ago shortly after the domain name of the site was registered. It is thought that the fake site is being run from Romania. Ms Sanders said DEC had contacted US net registrars who handle domain ownership and the net hosting firm that is keeping the site on the web.

DEC was going to push for all cash donated via the site to be handed over to the official organisation. BT and DEC's hosting company were also making efforts to get the site shut down, she said.

Ms Sanders said sending out spam e-mail to solicit donations was not DEC's style and that it would never canvass support in this way. She said that DEC hoped to get the fake site shut down as soon as possible. All attempts by the BBC News website to contact the people behind the site have failed. None of the e-mail addresses supplied on the site work and the real owner of the domain is obscured in publicly available net records. This is not the first attempt to cash in on the outpouring of goodwill that has accompanied appeals for tsunami aid. One e-mail sent out in early January came from someone who claimed that he had lost his parents in the disaster and was asking for help moving an inheritance from a bank account in the Netherlands. The con was very similar to the familiar Nigerian forward fee fraud e-mails that milk money out of people by promising them a cut of a much larger cash pile. Other scam e-mails included a link to a website that supposedly let people donate money but instead loaded spyware on their computers that grabbed confidential information. In a monthly report anti-virus firm Sophos said that two e-mail messages about the tsunami made it to the top 10 hoax list during January. Another tsunami-related e-mail is also circulating that carries the Zar worm which tries to spread via the familiar route of Microsoft's Outlook e-mail program. Anyone opening the attachment of the mail will have their contact list plundered by the worm keen to find new addresses to send itself to.
",2
6,"'Super union' merger plan touted

Two of Britain's big trade unions could merge to form a ""super union"" of two million members.

The move by Amicus and the Transport and General Workers Union (TGWU) would be a seen as a bid to carry more weight with ministers and employers. Amicus has 1.2 million members and the TGWU has 800,000. Any merger would have to be approved by the unions' executives and their membership. It is understood meetings will be held on Wednesday about the proposal. Along with the GMB and Unison, the TGWU and Amicus worked closely together in the last year to hammer out a 56-point deal with Labour's leadership over equality at work, holidays and pensions - the Warwick Agreement. Both unions are remaining tight-lipped about the merger rumours, but one insider pointed out to the BBC News website that ""nobody is denying suggestions a merger could be on the agenda"" when the two unions' executives hold their meetings on Wednesday. Amicus's executive was due to meet in any case although the TGWU is holding specially scheduled talks.
",2
7,"Howard denies split over ID cards

Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.

The Tory leader said his front bench team had reached a ""collective view"" after holding a ""good discussion"", but admitted it was ""not an easy issue"". He had decided to support the plans as the police said they would help fight terror, crime and illegal immigration. The Lib Dems have pledged to oppose the bill when it is debated next Monday.

Tory sources say senior party figures had argued vociferously against the ID card scheme. Among those reported to have serious reservations over the strategy were senior shadow cabinet members David Davis, Oliver Letwin and Tim Yeo. But Mr Howard denied Mr Yeo, his transport and environment spokesman, said the plans ""stink"". He also said he was confident shadow home secretary Mr Davis would ""set out the position very clearly"" when he stands up to debate the matter next week. Mr Howard said the police had said ID cards could ""help them foil a terror bomb plot in which people could lose their lives"". He added: ""When the police say that you have to take them seriously"".

He acknowledged there were ""good libertarian arguments"" against the cards, but said the shadow Cabinet had weighed up all the ""conflicting interests"" before reaching its decision. ""I don't pretend that it is an easy decision but at the end of the day a decision has to be taken."" He also denied he was afraid of looking ""soft"" on the issue, compared to Labour. The Conservatives announced their support for the government plans on Monday evening.

Sources within the party told the BBC Mr Howard had always been in favour of ID cards, and tried to introduce them when he was Home Secretary. But the Tories insisted they would hold ministers to account over the precise purpose of the scheme.

They said they would also press Labour over whether objectives could be met and whether the Home Office would be able to deliver them. And they pledged to assess the cost effectiveness of ID cards and whether people's privacy would be properly protected. ""It is important to remember that this bill will take a decade to come into full effect,"" a spokesman said. Lib Dem home affairs spokesman Mark Oaten has branded the ID scheme a waste of money and ""deeply flawed"". He said: ""This has all the signs of Michael Howard overruling colleagues' concerns over ID cards.""

The chairman of the Bar Council, Guy Mansfield QC warned there was a real risk that people on the ""margins of society"" would be driven into the hands of extremists. ""What is going to happen to young Asian men when there has been a bomb gone off somewhere? They are going to be stopped. If they haven't [ID cards] they are going to be detained."" Tory ex-minister Douglas Hogg said he opposed the plans for ID cards branding them a ""regressive"" step which would intrude into the lives of ordinary citizens without any counterbalancing benefits. He predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of Britain's ethnic minorities being stopped by police.
",2
8,"Seamen sail into biometric future

The luxury cruise liner Crystal Harmony, currently in the Gulf of Mexico, is the unlikely setting for tests of biometric technology.

As holidaymakers enjoy balmy breezes, their ship's crew is testing prototype versions of the world's first internationally issued biometric ID cards, the seafarer's equivalent of a passport. Along with the owner's picture, name and personal details, the new Seafarers' Identity Document incorporates a barcode representing unique features of its holder's fingerprints. The cards are due to be issued in February next year, in line with the revised UN Convention on Seafarers' Identity Documents of June 2003. Tests currently under way in the Caribbean are designed to ensure that new cards and their machine readers, produced by different companies in different countries, are working to interoperable standards. Results of the current tests, which involve seafarers from a wide range of occupations and nationalities, will be published by the International Labour Organisation (ILO) by the end of November. Crystal Cruises, which operates the Crystal Harmony, is exploring the use of biometrics but has not yet committed to the technology.

Authenti-corp, the US technology consultancy, has been working with the ILO on its technical specifications for the cards.

""If you're issued a seafarer's ID in your country, you want to be sure that when the ship lands in a port in, say, my country you can validate yourself using whatever equipment we have installed,"" Authenti-corp's CEO, Cynthia Musselman, told the BBC's Go Digital programme. She said French, Jordanian and Nigerian nationals would be the first seafarers to get the new ID cards since their countries have already ratified the convention. It aims to combat international terrorism whilst guaranteeing the welfare the one million seafarers estimated to be at sea. The convention highlights the importance of access to shore facilities and shore leave as vital elements to a sailor's wellbeing and, therefore, it says, to safer shipping and cleaner oceans. ""By increasing security on the seas as well as border control and protection, the cards will hopefully reduce the number of piracy problems around the world,"" said Ms Musselman. ""It should be a safer environment for seafarers to work in, and will allow people protecting their borders to have confidence that the people getting off the ship are, in fact, seafarers.""
",2
9,"Hague 'given up' his PM ambition

Former Conservative leader William Hague says he will not stand for the leadership again, having given up his ambition to be prime minister.

Mr Hague, 43, told the Daily Telegraph he would now find a life dominated by politics too ""boring"" and unfulfilling. Mr Hague, who stepped down after his party's 2001 election defeat, does not rule out a return to the front bench. He also told the paper he hopes to remain MP for Richmond, North Yorks, and start a family with wife Ffion. Mr Hague, who recently had published the biography of William Pitt the Younger, also said he wanted to continue writing books and speech-writing.

He told the newspaper: ""I don't know whether I will ever go back on to the front, but don't rush me."" Asked if he would stand for the leadership again, Mr Hague replied: ""No. Definitely not."" His determination to stay away from a central role will disappoint some senior Conservative members, who say the party needs him. Tim Collins, the shadow education secretary, said last week it would be a ""huge boost"" to the party if Mr Hague returned to the front bench. Mr Hague became an MP at 27 and Leader of the Opposition at 36. He said: ""I feel fortunate that, by the age of 40, I had crammed in an entire political career. ""I had been in the Cabinet and been leader of the party, so now I can branch out into other things...it is a very liberating feeling."" Mr Hague added that he may have misjudged his own ambition to be prime minister. ""Maybe I wasn't as driven by politics as I thought I was,"" he said.
",2
